pair,open_date,close_date,open_rate,close_rate,amount,stake_amount,profit_abs,profit_ratio,exit_reason,trade_duration,is_short
SOL/USDT,2025-04-17 06:30:00+00:00,2025-04-17 07:30:00+00:00,134.34,135.17340804482689,1.4,188.076,0.94038,0.004997001798920648,roi,60,False
SOL/USDT,2025-04-17 07:35:00+00:00,2025-04-17 08:55:00+00:00,135.2,133.25,1.4,189.28,-2.97325475,-0.01569881586474996,exit_signal,80,False
SOL/USDT,2025-04-17 12:10:00+00:00,2025-04-17 13:15:00+00:00,133.53,133.22,1.4,186.942,-0.65807,-0.003518071887340149,exit_signal,65,False
SOL/USDT,2025-04-17 15:15:00+00:00,2025-04-17 16:05:00+00:00,132.75,134.23769261556933,1.4,185.85,1.85885298,0.009995901732568207,roi,50,False
SOL/USDT,2025-04-17 16:10:00+00:00,2025-04-17 17:10:00+00:00,133.74,135.02,1.4,187.236,1.5662416,0.00836005051672152,roi,60,False
SOL/USDT,2025-04-17 17:40:00+00:00,2025-04-17 19:00:00+00:00,135.44,134.2,1.4,189.616,-1.9624976,-0.010343646145449175,exit_signal,80,False
ETH/USDT,2025-04-17 18:25:00+00:00,2025-04-17 19:00:00+00:00,1609.98,1599.94,0.12,193.1976,-1.43591424,-0.0074279039080980035,exit_signal,35,False
SOL/USDT,2025-04-17 20:50:00+00:00,2025-04-17 21:30:00+00:00,134.94,133.81,1.4,188.916,-1.80775,-0.009563329735966039,exit_signal,40,False
SOL/USDT,2025-04-17 23:25:00+00:00,2025-04-18 00:50:00+00:00,134.65,133.76,1.4,188.51,-1.46711003,-0.007777997410349079,exit_signal,85,False
SOL/USDT,2025-04-18 01:10:00+00:00,2025-04-18 02:50:00+00:00,134.86,135.69663398038824,1.4,188.804,0.94402,0.004997001798920648,roi,100,False
SOL/USDT,2025-04-18 02:55:00+00:00,2025-04-18 03:30:00+00:00,135.62,134.4,1.4,189.868,-1.9348168,-0.010184215381403806,exit_signal,35,False
SOL/USDT,2025-04-18 06:55:00+00:00,2025-04-18 08:00:00+00:00,134.16,134.9922913748249,1.4,187.824,0.95903316,0.00510295854176735,roi,65,False
SOL/USDT,2025-04-18 08:05:00+00:00,2025-04-18 10:05:00+00:00,135.02,134.4,1.4,189.028,-1.0943128,-0.005785685750451669,exit_signal,120,False
SOL/USDT,2025-04-19 02:15:00+00:00,2025-04-19 03:15:00+00:00,137.17,138.02096457874723,1.4,192.038,0.96019,0.004997001798920648,roi,60,False
SOL/USDT,2025-04-19 03:20:00+00:00,2025-04-19 04:30:00+00:00,138.22,139.07747848709226,1.3,179.686,0.89843,0.004997001798920648,roi,70,False
SOL/USDT,2025-04-19 05:30:00+00:00,2025-04-19 06:35:00+00:00,138.66,137.79,1.3,180.258,-1.346631,-0.007466095850927348,exit_signal,65,False
SOL/USDT,2025-04-19 09:15:00+00:00,2025-04-19 10:40:00+00:00,139.22,138.86,1.3,180.986,-0.6849024,-0.003782014658465372,exit_signal,85,False
ETH/USDT,2025-04-19 17:40:00+00:00,2025-04-19 20:05:00+00:00,1617.2,1612.3,0.11,177.892,-0.752147,-0.004225574969141691,exit_signal,145,False
SOL/USDT,2025-04-20 00:15:00+00:00,2025-04-20 01:45:00+00:00,140.87,141.74391835101062,1.3,183.131,0.915655,0.004997001798920648,roi,90,False
SOL/USDT,2025-04-20 01:55:00+00:00,2025-04-20 03:10:00+00:00,141.65,140.9,1.3,184.145,-1.195389,-0.006487671110711618,exit_signal,75,False
BTC/USDT,2025-04-21 00:40:00+00:00,2025-04-21 01:35:00+00:00,86311.0,87278.26355813487,0.002,172.622,1.72622,0.009994003597841295,roi,55,False
ETH/USDT,2025-04-21 00:35:00+00:00,2025-04-21 01:45:00+00:00,1617.48,1627.5143966379826,0.11,177.9228,0.889614,0.004997001798920648,roi,70,False
SOL/USDT,2025-04-21 00:35:00+00:00,2025-04-21 02:40:00+00:00,142.69,139.88,1.3,185.497,-3.8734046,-0.020868703811002347,exit_signal,125,False
ETH/USDT,2025-04-21 01:50:00+00:00,2025-04-21 03:00:00+00:00,1627.52,1637.6166820092055,0.11,179.0272,0.895136,0.0049970017989206484,roi,70,False
BTC/USDT,2025-04-21 02:25:00+00:00,2025-04-21 05:45:00+00:00,87430.0,87534.97898739243,0.002,174.86,0.0,0.0,roi,200,False
ETH/USDT,2025-04-21 04:50:00+00:00,2025-04-21 05:50:00+00:00,1637.74,1650.08,0.11,180.1514,1.14040388,0.006326456791183511,roi,60,False
